expAB_z;i;q_r;modelFlux_r;expAB_i;expRad_u;q_g;psfMag_z;dec;psfMag_r;type
0.2500038;23.48827;0.4591598;2.404338;0.100048;38.37992;0.3807448;22.30709;-0.468141228247953;22.79984;galaxy
0.05;20.76835;-0.08974706;2.298005;0.5284062;0.03959721;0.182462;20.24744;-1.01982944743449;21.74085;galaxy
0.4410885;19.96033;0.1081169;7.211784;0.4841096;1.552302;0.08707935;20.38031;-0.808306305220277;20.8906;galaxy
0.539789;19.57072;-0.08924832;8.931119;0.5825499;59.32978;-0.06446272;19.48094;0.697498631396924;20.44971;galaxy
0.6011729;21.1165;-0.812673;1.102278;0.6279408;59.27257;0.006488324;21.64987;-0.506862761404742;22.90577;galaxy
0.05;21.50016;-0.04851199;1.520907;0.833427;0.201407;0.171644;22.30072;0.430689549737799;22.59763;galaxy
0.06943564;20.61412;0.02261614;5.497828;0.9997502;0.03544352;0.01622845;22.82715;12.4642283904414;20.82495;galaxy
0.05;21.48555;0.1291586;1.220556;0.4330828;15.87623;0.06978765;21.49678;0.37180481872329;22.56242;galaxy
0.5491476;21.08872;0.117212;1.479604;0.4790799;16.48978;0.03250189;21.15044;-0.628720758388107;22.60467;galaxy
0.06970413;21.50239;-0.01476646;1.711608;0.06700145;1.098203;0.4377056;21.23966;0.585446824225738;22.20963;galaxy
0.05;20.87286;0.12016400000000001;2.863259;0.5499331;0.4722156;0.6756567;21.22606;-1.15500461281853;22.27414;galaxy
0.05;21.47235;-0.03920751;1.544507;0.09994903;7.390856e-5;0.07767733;21.2495;14.5637478840953;22.64712;galaxy
0.05;20.77053;0.04934773;1.348033;0.1340311;2.361363;6.458866;20.30006;0.425470764492828;22.49103;galaxy
0.1585407;20.2955;-0.1403317;5.458311;0.4184917;6.621473e-6;-0.2947027;20.73342;-0.792396409810503;21.5678;galaxy
0.05622038;21.84312;-0.001921781;1.090865;0.07213771;0.4473487;-0.1155359;22.49578;0.248672480209894;22.61099;galaxy
0.05;21.17219;2.129857e-4;2.751806;0.2336651;0.003479586;-0.1076034;20.75193;-0.494393263474816;21.51662;galaxy
0.2506827;19.68533;0.04838703;9.973251;0.6265659;1.901986;0.02439733;20.17886;0.236816241077452;20.58403;galaxy
0.05;22.09249;-0.1003876;1.059508;0.05;0.002055082;0.3677796;21.48075;-0.889379804430587;22.57526;galaxy
0.09967998;21.85181;0.1460015;1.607958;0.05;3.410307;0.4174087;21.39909;-6.17903698639595;22.60766;galaxy
0.09915648;22.678;-0.005937968;0.7979252;0.05;0.9680204;-0.08764724;21.83422;0.95424274813938;22.70695;galaxy
0.4806832;18.3988;-0.07882888;27.74016;0.4945428;1.551231;-0.09260567;18.78857;0.236476364936213;19.54975;galaxy
0.7999076;19.32695;-0.03207625;10.73745;0.9611669;24.64199;-0.09857871;20.04327;0.947593740395061;21.35723;galaxy
0.1215497;21.5454;-0.2114107;1.35698;0.5445968;0.0654401;-0.1524315;21.0677;15.6922191294586;22.2223;galaxy
0.05;20.97967;-0.01827087;2.428994;0.9997842;10.23252;0.1037626;20.44167;-0.51481266703587;21.72342;galaxy
0.2999855;21.20353;-0.001512514;1.765903;0.5897186;6.593084;0.1361787;20.97548;-0.39710466070533;22.27614;galaxy
0.05;21.09578;-0.5177025;3.391344;0.4036357;5.628401;-0.4558033;21.15416;-1.0153284333782;22.1845;galaxy
0.05;21.52144;0.1353348;1.424949;0.2498015;22.98559;-0.4070693;20.91713;-7.19178331971555;22.16166;galaxy
0.05;21.16884;0.01602086;2.493037;0.2723034;4.310511;-0.04528006;21.35355;13.9478100144788;22.06502;galaxy
0.9989711;20.35034;-0.05481517;4.185663;0.9684069;3.048947;-0.2015384;19.98744;0.363743542500306;21.4371;galaxy
0.05;21.92131;0.1453835;0.7848077;0.135537;8.037226e-6;-0.3030821;21.4874;0.0136009652935514;22.79752;galaxy
0.149964;20.92102;0.08865286;2.506055;0.51183940000000006;19.77089;0.06786178;21.85782;-1.10328942935086;22.59394;galaxy
0.06728277;19.7807;0.06519737;6.95181;0.6806703;59.34085;0.09813785;19.60882;-8.6940175851783;21.05678;galaxy
0.05004578;23.04525;-0.1169349;0.8575186;0.05;57.82588;1.204554;21.46066;-1.09228624456712;22.80882;galaxy
0.05;21.49192;-0.03235658;1.867475;0.05;9.263844e-4;-0.3521399;21.77937;-0.589821379905722;22.11352;galaxy
0.06772814;21.20908;0.1758741;2.405456;0.1465153;1.438938;-0.04256966;21.4464;-0.676772676535079;22.1282;galaxy
0.05420107;21.0145;0.007677038;1.795211;0.5500379;0.3790146;-0.01064345;20.77132;-1.23743590419676;21.9762;galaxy
0.1572257;18.65525;-0.2800671;21.49371;0.1400054;47.6428;-0.1309618;20.10059;-7.60816833830515;21.32786;galaxy
0.05;21.33162;-0.2271121;1.89382;0.3120339;2.153118;0.02587735;21.45456;1.17157451277517;22.41352;galaxy
0.2452758;21.19614;-0.06993363;1.881218;0.3599412;6.235555e-6;-0.08067833;20.86019;-0.307410260735331;22.24194;galaxy
0.2127503;18.58617;-0.00987779;25.41675;0.1838873;48.79637;-0.1082119;19.41305;49.4520407084963;18.98093;galaxy
0.05;21.251830000000002;-0.3674991;1.714384;0.3669596;1.764607;0.1386644;22.55639;-0.106319043461097;22.91308;galaxy
0.05;20.69151;-0.1931891;3.905493;0.3334166;4.248709;-0.114066;20.67576;-0.0616038042037969;21.68959;galaxy
0.05117108;21.16783;0.06469529;1.556212;0.6534753;0.3039673;-0.5444592;21.41829;0.383470696191065;22.64262;galaxy
0.1496787;21.58996;-0.24745;0.7511941;0.05;0.002662465;-15.8515;21.38316;0.358911670400814;22.82332;galaxy
0.05;21.00918;-0.1610283;1.801792;0.08399414;8.217397;0.185705;20.63766;1.09767889495938;22.34442;galaxy
0.05;21.25826;-0.06835091;2.018867;0.2314263;0.3661709;-0.1484768;21.16678;0.463215507818195;22.17694;galaxy
